"Total_N_W1_males","Variable","Percentage_Missing"
4620,"perc_missing_h1gh21","0.09 %"
4620,"perc_missing_h1da5","0 %"
4620,"perc_missing_h1fv5","0.52 %"
4620,"perc_missing_h1gh28","0.04 %"
4620,"perc_missing_h1pr4","0.56 %"
4620,"perc_missing_h1da10","0.06 %"
4620,"perc_missing_h1gh46","0.69 %"
4620,"perc_missing_h1ee4","0.74 %"
4620,"perc_missing_h1ed7","0.09 %"
4620,"perc_missing_h1fs2","0.02 %"
4620,"perc_missing_h1gh39","0.04 %"
4620,"perc_missing_h1da11","0.17 %"
4620,"perc_missing_h1da1","0 %"
4620,"perc_missing_h1pf15","0.24 %"
4620,"perc_missing_h1pr1","0.63 %"
4620,"perc_missing_h1gh20","0.19 %"
4620,"perc_missing_h1pf32","0.09 %"
4620,"perc_missing_h1id5","0.78 %"
4620,"perc_missing_h1da6","0.02 %"
4620,"perc_missing_h1pf16","0.41 %"
4620,"perc_missing_h1gh29","0.02 %"
4620,"perc_missing_h1pf10","0.11 %"
4620,"perc_missing_h1ee2","0.45 %"
4620,"perc_missing_h1fs4","0.09 %"
4620,"perc_missing_h1gh42","0.02 %"
4620,"perc_missing_h4to25","0.48 %"
4620,"perc_missing_h4cj1","0.74 %"
4620,"perc_missing_h4da16","0.56 %"
4620,"perc_missing_h4pe5","0.19 %"
4620,"perc_missing_h4pe9","0.04 %"
4620,"perc_missing_h4pe2","0.06 %"
4620,"perc_missing_h4da6","0.04 %"
4620,"perc_missing_h4da23","2.9 %"
4620,"perc_missing_h4da8","0.04 %"
4620,"perc_missing_h4pe4","0.04 %"
4620,"perc_missing_h4re10","0.19 %"
4620,"perc_missing_h4da17","2.36 %"
4620,"perc_missing_h4mi1","0 %"
4620,"perc_missing_h4da4","0.04 %"
4620,"perc_missing_h4mh23","0 %"
4620,"perc_missing_h4pe6","0.06 %"
4620,"perc_missing_h4mh7","0.09 %"
4620,"perc_missing_h4pe10","0.06 %"
4620,"perc_missing_h4pe35","0.11 %"
4620,"perc_missing_h4da11","0.04 %"
4620,"perc_missing_h4pe22","0.09 %"
4620,"perc_missing_h4pe26","0.17 %"
4620,"Perc_Missing_Any","8.44 %"
